pp@cat_encoder,pp@decomposition,pp@featureselector,pp@scaler,pp@feature_map_size,pp@featuregen,pp@kernel_mapper_kernel,pp@projection_features,pp@selectp_percentile,pp@std_with_std,pp@kernel_mapper_coef0,pp@kernel_mapper_degree,pp@kernel_mapper_gamma,pp@poly_degree,C,cap_max_iter,class_weight,coef0,degree,gamma,kernel,max_iter,multi_class,shrinking,tol
ordinal,lda,selectp,minmax,,poly,,0.4074136698125,45,,,,,2,0.0011422409929,True,none,4.4236298224815,2,5.969e-10,poly,883,ovr,True,0.8050626073135
none,ka_rbf,none,minmax,289,none,,,,,,,2.9019301e-06,,26592509.05170007,True,none,0.5060946716447,2,294656.347327331,rbf,5815,ovr,False,0.1132989620136
ordinal,lda,none,std,,poly,,0.8127302289777,,False,,,,2,103956.35521061934,True,balanced,1e-12,5,1991.1072647609217,rbf,2928,ovo-scikit,False,0.1083223663953
onehot,lda,selectp,none,,poly,,0.3547100233191,75,,,,,2,80169942004.27658,False,none,0.016204715419,5,30656705.407615755,poly,659,ovr,False,0.0010015607876
onehot,agglomerator,selectp,none,,poly,,0.3725818764498,44,,,,,2,4737961467.835418,True,none,4.49e-11,3,235314519085.35568,poly,3711,ovo-scikit,True,0.0378826700115
none,agglomerator,none,minmax,,poly,,0.9315310599035,,,,,,2,1.07e-11,False,none,86504.96918288084,5,7.8812e-09,poly,962,ovr,False,0.0047228848398
ordinal,ka_rbf,selectp,minmax,574,none,,,31,,,,15140.605282199047,,9.85663847e-05,True,balanced,0.0030591293789,5,9.5539235e-06,sigmoid,5108,ovo-scikit,True,0.0037712396331
ordinal,pca,selectp,none,,none,,,60,,,,,,2.475e-10,False,balanced,2.88509057e-05,3,2.06579e-08,rbf,186,ovo-scikit,True,0.0038212756818
ordinal,kernel_pca,selectp,minmax,,none,rbf,0.1868492819732,15,,,,0.0001675648969,,0.259500865123,False,balanced,176617.35160444368,3,0.0001959457068,poly,8515,ovr,False,6.34163408e-05
onehot,kernel_pca,selectp,none,,none,poly,0.1247028388109,49,,75.3240119592177,2.0,890806.7834701643,,47922389.08261774,False,none,0.000115734014,5,0.3322471832209,sigmoid,960,ovr,False,8.64382912e-05
ordinal,none,selectp,none,,poly,,,63,,,,,2,1.2721e-09,True,balanced,4.1630811238103,2,0.6655464699538,sigmoid,292,ovo-scikit,False,0.1533848545926
ordinal,none,none,none,,poly,,,,,,,,2,0.2065264426397,True,balanced,2.5329e-09,4,0.0001920023326,sigmoid,418,ovr,True,0.0186075620447
onehot,ka_rbf,none,std,111,none,,,,False,,,0.1815814014454,,4.31e-11,True,balanced,3.99517675e-05,4,8.59830235e-05,rbf,3823,ovr,False,0.1117740982782
none,agglomerator,none,none,,poly,,0.7573520930962,,,,,,2,44918017128.98972,False,balanced,1098.8930407421387,5,3.88e-11,poly,2693,ovo-scikit,True,0.000354426339
onehot,lda,none,std,,poly,,0.8861716326997,,True,,,,2,143945661672.28174,False,none,289099.0271190746,5,2.2e-12,poly,1306,ovo-scikit,True,0.0037013236638
ordinal,none,selectp,minmax,,none,,,57,,,,,,0.0003856463435,False,balanced,125164673685.32254,4,1881397.8407542408,rbf,788,ovo-scikit,True,8.58302108e-05
onehot,pca,none,none,,none,,,,,,,,,8.4805e-09,True,none,4.493e-10,2,50434.13905949169,poly,640,ovo-scikit,False,0.6727383596233
onehot,lda,none,minmax,,none,,0.9840152913848,,,,,,,0.0391723332018,True,none,1380.2679439858978,2,0.0079141665661,sigmoid,137,ovo-scikit,False,0.0001606896889
none,ka_nystroem,none,minmax,627,none,sigmoid,,,,84.8721531829773,3.0,0.0271820671917,,2.0286118e-06,True,none,895067982930.2539,4,8.7834e-09,poly,7697,ovr,False,0.0263861847406
none,ka_rbf,none,minmax,242,none,,,,,,,0.0362015233103,,3.3845278833647,False,none,512082652783.4582,5,2821929375.0313716,sigmoid,3749,ovo-scikit,True,0.0020061175224
ordinal,agglomerator,selectp,none,,poly,,0.9096461063904,33,,,,,2,28.2367123097264,False,none,0.0001832061097,4,1.7e-12,poly,9247,ovo-scikit,True,0.2493761474523
none,none,selectp,std,,poly,,,31,False,,,,2,10895.25775458518,False,balanced,14.8724465771202,4,2.867e-10,sigmoid,9215,ovr,False,0.0238415920016
onehot,ka_rbf,selectp,none,188,none,,,15,,,,7.12320096e-05,,7.6067719e-06,False,none,36762156.3002693,5,6288983.25436931,rbf,9668,ovr,True,0.0199138032839
ordinal,ka_nystroem,none,std,736,none,rbf,,,False,,,0.1950607977747,,2.9e-12,False,none,2.326e-10,3,2.89e-11,poly,172,ovr,True,0.0107961825017
none,fastica,none,none,,poly,,0.2021175077603,,,,,,2,0.0038136181671,False,balanced,16818882.09771623,3,1815984536.9903746,rbf,7525,ovo-scikit,False,1.4783931008951
onehot,lda,none,minmax,,poly,,0.265478620413,,,,,,2,2.943724e-07,True,none,0.1904797235456,2,4.5368e-09,sigmoid,305,ovo-scikit,False,0.0166651661973
none,pca,selectp,std,,none,,,81,True,,,,,2.829816e-07,False,balanced,0.0028831083971,3,804841763993.8555,rbf,1047,ovo-scikit,True,0.0006618274969
ordinal,ka_rbf,selectp,minmax,734,none,,,100,,,,1.83852741e-05,,2.5509341e-06,True,none,0.0001314478253,5,2.545e-10,sigmoid,319,ovr,True,0.0014432732332
ordinal,pca,selectp,none,,none,,,64,,,,,,3383604274.5524044,True,balanced,0.0006244799034,4,646768705.8633938,sigmoid,1986,ovr,False,0.2072324577032
ordinal,ka_rbf,selectp,none,288,none,,,44,,,,356.1832979184539,,35.5674754012251,True,none,623746422.5064282,3,1.15448406e-05,poly,2372,ovr,False,0.0002560081904
none,ka_nystroem,none,std,237,none,poly,,,True,94.5418950121156,4.0,3.80406021e-05,,3.7658889708879,True,none,699438.1202783576,3,5.3e-12,sigmoid,433,ovr,False,0.0003834057095
onehot,lda,none,std,,poly,,0.0828382023108,,False,,,,2,1848554949.263783,True,balanced,618013466.4810246,2,911310280.6350268,rbf,216,ovo-scikit,True,0.0608457091162
ordinal,ka_rbf,selectp,minmax,628,none,,,54,,,,283.6733077829896,,524714218.7221314,False,none,18186749709.000874,4,0.0465044945496,sigmoid,1295,ovr,False,0.0444062666449
onehot,ka_rbf,selectp,minmax,958,none,,,23,,,,0.0026219611153,,4076096.367176034,False,balanced,2.1e-12,4,1.1414031158516,poly,432,ovo-scikit,True,0.0001662050179
none,agglomerator,none,std,,none,,0.4103780972067,,False,,,,,13646734.50623366,False,balanced,0.338933278998,2,9.1443139595839,poly,8244,ovr,False,0.000724080776
none,ka_rbf,selectp,std,477,none,,,80,True,,,1839.4240242724688,,6159748497.076721,False,none,4.3452692447561,4,8637098.803023394,rbf,206,ovr,True,0.0001727734728
none,agglomerator,none,std,,poly,,0.055055606823,,False,,,,2,104044.57381004475,False,balanced,8.1413926289046,5,1.85813134e-05,rbf,118,ovr,False,1.4996301803618
none,ka_rbf,none,minmax,39,none,,,,,,,0.071733140361,,584.2977840382273,True,balanced,31909077966.158825,3,2991.210684476471,sigmoid,610,ovr,True,0.0002228714311
onehot,lda,none,none,,none,,0.4107258926676,,,,,,,10470652.21425773,False,balanced,2.11119751e-05,5,194915829770.94714,rbf,203,ovr,False,0.0802652898722
none,agglomerator,selectp,minmax,,none,,0.605264400848,92,,,,,,113633112.36824776,False,none,400327549021.06067,5,7133797.516307547,sigmoid,202,ovr,False,0.0018159315941
onehot,agglomerator,selectp,minmax,,none,,0.1516308103451,2,,,,,,46286.391883560194,False,none,4.63523808e-05,3,20753089.800160654,poly,185,ovr,False,0.1702359902946
onehot,ka_nystroem,selectp,std,692,none,cosine,,28,False,,,,,4762132.319176234,False,balanced,3.659e-10,2,913097282749.0873,rbf,256,ovr,False,0.1686590740064
none,pca,none,std,,none,,,,True,,,,,9971233.986740118,True,none,0.092206173449,4,216463422.11164337,poly,574,ovo-scikit,False,0.4309052291758
ordinal,lda,none,std,,none,,0.6263398657078,,True,,,,,57567581.26616033,True,none,0.5095449503197,5,0.0088502764229,rbf,984,ovr,False,0.1002593744929
onehot,pca,selectp,none,,none,,,62,,,,,,0.0015003867982,True,balanced,3263903.921862294,4,1.1481e-09,poly,109,ovr,False,1.5976313648888
none,ka_rbf,none,std,735,none,,,,False,,,5.35429744e-05,,142.2602710505443,False,none,372746.2297527975,4,32676959770.628124,poly,234,ovo-scikit,False,0.0059381536941
ordinal,agglomerator,none,minmax,,none,,0.7895770925276,,,,,,,1437521939.8744602,False,balanced,2305032182.179,3,1.659967e-07,poly,676,ovr,False,0.0265563881651
